,school,year,coaches,wins
1,Boston College,2015,Steve Addazio,3
2,Boston College,2016,Steve Addazio,7
3,Boston College,2017,Steve Addazio,7
4,Boston College,2018,Steve Addazio,7
5,Boston College,2019,Steve Addazio,6
6,Oregon State,2015,Gary Andersen,2
7,Oregon State,2016,Gary Andersen,4
8,Oregon State,2017,"Gary Andersen, Cory Hall",1
,Oregon State,2018,Jonathan Smith,2
9,Oregon State,2019,Jonathan Smith,5
10,Arkansas State,2015,Blake Anderson,9
11,Arkansas State,2016,Blake Anderson,8
12,Arkansas State,2017,Blake Anderson,7
13,Arkansas State,2018,Blake Anderson,8
14,Arkansas State,2019,Blake Anderson,8
15,Bowling Green,2015,Dino Babers,10
16,Bowling Green,2016,Mike Jinks,4
17,Bowling Green,2017,Mike Jinks,2
18,Bowling Green,2018,"Mike Jinks, Carl Pelini",3
19,Bowling Green,2019,Scot Loeffler,3
20,Rice,2015,David Bailiff,5
21,Rice,2016,David Bailiff,3
22,Rice,2017,David Bailiff,1
23,Rice,2018,Mike Bloomgren,2
24,Rice,2019,Mike Bloomgren,3
25,Virginia Tech,2015,Frank Beamer,7
26,Virginia Tech,2016,Justin Fuente,10
27,Virginia Tech,2017,Justin Fuente,9
28,Virginia Tech,2018,Justin Fuente,6
29,Virginia Tech,2019,Justin Fuente,8
30,Kansas,2015,David Beaty,0
31,Kansas,2016,David Beaty,2
32,Kansas,2017,David Beaty,1
33,Kansas,2018,David Beaty,3
34,Kansas,2019,Les Miles,3
35,Arkansas,2015,Bret Bielema,8
36,Arkansas,2016,Bret Bielema,7
37,Arkansas,2017,Bret Bielema,4
38,Arkansas,2018,Chad Morris,2
39,Arkansas,2019,"Barry Lunney Jr., Chad Morris",2
40,Colorado State,2015,Mike Bobo,7
41,Colorado State,2016,Mike Bobo,7
42,Colorado State,2017,Mike Bobo,7
43,Colorado State,2018,Mike Bobo,3
44,Colorado State,2019,Mike Bobo,4
45,Wyoming,2015,Craig Bohl,2
46,Wyoming,2016,Craig Bohl,8
47,Wyoming,2017,Craig Bohl,8
48,Wyoming,2018,Craig Bohl,6
49,Wyoming,2019,Craig Bohl,8
50,Central Michigan,2015,John Bonamego,7
51,Central Michigan,2016,John Bonamego,6
52,Central Michigan,2017,John Bonamego,8
53,Central Michigan,2018,John Bonamego,1
54,Central Michigan,2019,Jim McElwain,8
55,Akron,2015,Terry Bowden,8
56,Akron,2016,Terry Bowden,5
57,Akron,2017,Terry Bowden,7
58,Akron,2018,Terry Bowden,4
59,Akron,2019,Tom Arth,0
60,Baylor,2015,Art Briles,10
61,Baylor,2016,Jim Grobe,7
62,Baylor,2017,Matt Rhule,1
63,Baylor,2018,Matt Rhule,7
64,Baylor,2019,Matt Rhule,11
65,Western Kentucky,2015,Jeff Brohm,12
66,Western Kentucky,2016,Jeff Brohm,10
67,Western Kentucky,2017,Mike Sanford,6
68,Western Kentucky,2018,"Bobby Petrino, Mike Sanford",5
69,Western Kentucky,2019,Tyson Helton,9
70,Troy,2015,Neal Brown,4
71,Troy,2016,Neal Brown,10
72,Troy,2017,Neal Brown,11
73,Troy,2018,Neal Brown,10
