"","X1","school","year","coaches","wins","talent","color","conference"
"1",1,"Boston College",2015,"Steve Addazio",3,"534.60","#88001a","ACC"
"2",2,"Boston College",2016,"Steve Addazio",7,"533.39","#88001a","ACC"
"3",3,"Boston College",2017,"Steve Addazio",7,"535.21","#88001a","ACC"
"4",4,"Boston College",2018,"Steve Addazio",7,"533.43","#88001a","ACC"
"5",5,"Boston College",2019,"Steve Addazio",6,"564.95","#88001a","ACC"
"6",6,"Oregon State",2015,"Gary Andersen",2,"544.66","#c34500","Pac-12"
"7",7,"Oregon State",2016,"Gary Andersen",4,"524.89","#c34500","Pac-12"
"8",8,"Oregon State",2017,"Gary Andersen, Cory Hall",1,"557.02","#c34500","Pac-12"
"9",NA,"Oregon State",2018,"Jonathan Smith",2,"535.36","#c34500","Pac-12"
"10",9,"Oregon State",2019,"Jonathan Smith",5,"595.50","#c34500","Pac-12"
"11",10,"Arkansas State",2015,"Blake Anderson",9,"408.08","#e81018","Sun Belt"
"12",11,"Arkansas State",2016,"Blake Anderson",8,"471.45","#e81018","Sun Belt"
"13",12,"Arkansas State",2017,"Blake Anderson",7,"436.05","#e81018","Sun Belt"
"14",13,"Arkansas State",2018,"Blake Anderson",8,"433.73","#e81018","Sun Belt"
"15",14,"Arkansas State",2019,"Blake Anderson",8,"447.87","#e81018","Sun Belt"
"16",15,"Bowling Green",2015,"Dino Babers",10,"433.59","#2b1000","Mid-American"
"17",16,"Bowling Green",2016,"Mike Jinks",4,"392.66","#2b1000","Mid-American"
"18",17,"Bowling Green",2017,"Mike Jinks",2,"361.82","#2b1000","Mid-American"
"19",18,"Bowling Green",2018,"Mike Jinks, Carl Pelini",3,"375.14","#2b1000","Mid-American"
"20",19,"Bowling Green",2019,"Scot Loeffler",3,"315.44","#2b1000","Mid-American"
"21",20,"Rice",2015,"David Bailiff",5,"399.58","#003D7D","Conference USA"
"22",21,"Rice",2016,"David Bailiff",3,"394.83","#003D7D","Conference USA"
"23",22,"Rice",2017,"David Bailiff",1,"345.79","#003D7D","Conference USA"
"24",23,"Rice",2018,"Mike Bloomgren",2,"375.12","#003D7D","Conference USA"
"25",24,"Rice",2019,"Mike Bloomgren",3,"397.04","#003D7D","Conference USA"
"26",25,"Virginia Tech",2015,"Frank Beamer",7,"658.38","#74232D","ACC"
"27",26,"Virginia Tech",2016,"Justin Fuente",10,"646.82","#74232D","ACC"
"28",27,"Virginia Tech",2017,"Justin Fuente",9,"662.18","#74232D","ACC"
"29",28,"Virginia Tech",2018,"Justin Fuente",6,"675.71","#74232D","ACC"
"30",29,"Virginia Tech",2019,"Justin Fuente",8,"696.39","#74232D","ACC"
"31",30,"Kansas",2015,"David Beaty",0,"499.97","#0022B4","Big 12"
